tree_id,sign_common_name,sign_scientific_name,sign_family,sign_origin,sign_status,sign_notes
78,Japanese Black Pine,Pinus thunbergii,Pinaceae,"Japan, S Korea",Presumed Installed,
79,Torrey Pine,Pinus torreyana,Pinaceae,S California,Presumed Installed,
80,Mock Orange,Pittosporum undulatum,Pittosporaceae,E Australia,Presumed Installed,
81,Western Sycamore,Platanus racemosa,Platanaceae,California,Installed,
82,Yew Tree,Podocarpus macrophyllus,Podocarpaceae,"China, Japan",Installed,
83,Silk Oak,Grevillea robusta,Proteaceae,E Australia,Presumed Installed,
84,California Coffee Berry,Frangula californica,Rhamnaceae,California,Presumed Installed,
85,Loquat,Eriobotrya japonica,Rosaceae,China,Installed,
86,Toyon,Heteromeles arbutifolia,Rosaceae,"W USA, Baja CA, BC",Presumed Installed,
87,Catalina Ironwood,Lyonothamnus floribundus,Rosaceae,Catalina Island,Installed,
88,Apple,Malus pumila,Rosaceae,Central Asia,Orphaned,
89,Red Flowering Plum,Prunus cerasifera,Rosaceae,Mediterranean,Installed,
90,Ornamental Pear ,Pyrus calleryana,Rosaceae,"China, Taiwan",Presumed Installed,
91,Australian Willow,Geijera parviflora,Rutaceae,E Australia,Installed,
92,Arroyo Willow,Salix lasiolepis,Salicaceae,W North America,Orphaned,
93,Japanese Maple,Acer palmatum,Sapindaceae,Japan,Presumed Installed,
94,Buckeye,Aesculus californica,Sapindaceae,California,Presumed Installed,
95,Carrotwood Tree,Cupaniopsis anacardiodes,Sapindaceae,NE Australia,Installed,
96,Chinese Flame Tree,Koelreuteria bipinnata,Sapindaceae,SW China,Installed,
97,Dawn Redwood,Metasequoia glyptostroboides,Taxodiaceae,China,Installed,
98,Coast Redwood,Sequoia sempervirens,Taxodiaceae,California,Installed,
99,Giant Sequoia,Sequoiadendron giganteum,Taxodiaceae,California,Installed,
100,English Elm,Ulmus procera,Ulmaceae,"Europe, W Asia",Presumed Installed,
101,Pacific Wax Myrtle,Morella californica,Myricaceae,W USA Coast,Orphaned,
106,Stellar Ruby Magnolia,Magnolia x 'Stellar Ruby',Magnoliaceae,China,Installed ,No number on this sign. I believe Ron didn't want to count it.
